7.783000	7.783000	B
8.267000	8.267000	B
8.750000	8.750000	B
9.236000	9.236000	B
9.718000	9.718000	B
10.206000	10.206000	B
10.685000	10.685000	B
11.171000	11.171000	B
11.655000	11.655000	B
12.138000	12.138000	B
12.621000	12.621000	B
13.106000	13.106000	B
13.589000	13.589000	B
14.075000	14.075000	B
14.556000	14.556000	B
15.045000	15.045000	B
15.524000	15.524000	B
16.009000	16.009000	B
16.492000	16.492000	B
16.977000	16.977000	B
17.460000	17.460000	B
17.946000	17.946000	B
18.427000	18.427000	B
18.914000	18.914000	B
19.395000	19.395000	B
19.880000	19.880000	B
20.362000	20.362000	B
20.849000	20.849000	B
38.535000	38.535000	B
38.634000	38.634000	B
38.749000	38.749000	B
39.236000	39.236000	B
39.719000	39.719000	B
40.204000	40.204000	B
40.687000	40.687000	B
41.172000	41.172000	B
41.659000	41.659000	B
42.141000	42.141000	B
42.623000	42.623000	B
43.111000	43.111000	B
43.591000	43.591000	B
44.076000	44.076000	B
44.558000	44.558000	B
45.043000	45.043000	B
45.526000	45.526000	B
46.010000	46.010000	B
46.494000	46.494000	B
46.977000	46.977000	B
47.461000	47.461000	B
47.945000	47.945000	B
48.428000	48.428000	B
48.914000	48.914000	B
49.395000	49.395000	B
49.880000	49.880000	B
50.363000	50.363000	B
50.847000	50.847000	B
51.331000	51.331000	B
51.815000	51.815000	B
54.234000	54.234000	B
54.720000	54.720000	B
55.203000	55.203000	B
55.687000	55.687000	B
56.169000	56.169000	B
56.659000	56.659000	B
57.138000	57.138000	B
57.623000	57.623000	B
58.106000	58.106000	B
58.591000	58.591000	B
59.073000	59.073000	B
59.558000	59.558000	B
60.042000	60.042000	B
60.525000	60.525000	B
61.009000	61.009000	B
61.493000	61.493000	B
61.976000	61.976000	B
62.462000	62.462000	B
62.944000	62.944000	B
63.430000	63.430000	B
63.913000	63.913000	B
64.401000	64.401000	B
64.883000	64.883000	B
65.370000	65.370000	B
100.684000	100.684000	B
101.176000	101.176000	B
101.657000	101.657000	B
102.139000	102.139000	B
102.624000	102.624000	B
103.112000	103.112000	B
103.594000	103.594000	B
104.080000	104.080000	B
104.559000	104.559000	B
105.043000	105.043000	B
105.525000	105.525000	B
106.015000	106.015000	B
106.492000	106.492000	B
106.977000	106.977000	B
107.460000	107.460000	B
107.947000	107.947000	B
108.429000	108.429000	B
108.918000	108.918000	B
109.396000	109.396000	B
109.883000	109.883000	B
110.363000	110.363000	B
110.848000	110.848000	B
111.331000	111.331000	B
111.817000	111.817000	B
116.168000	116.168000	B
116.654000	116.654000	B
117.136000	117.136000	B
117.622000	117.622000	B
118.105000	118.105000	B
118.590000	118.590000	B
119.072000	119.072000	B
119.556000	119.556000	B
120.041000	120.041000	B
120.524000	120.524000	B
121.007000	121.007000	B
121.492000	121.492000	B
121.975000	121.975000	B
122.466000	122.466000	B
122.946000	122.946000	B
