5.931000	5.931000	B
6.422000	6.422000	B
6.914000	6.914000	B
7.406000	7.406000	B
7.898000	7.898000	B
8.389000	8.389000	B
8.881000	8.881000	B
9.082000	9.082000	B
9.373000	9.373000	B
9.864000	9.864000	B
10.356000	10.356000	B
10.847000	10.847000	B
11.339000	11.339000	B
11.832000	11.832000	B
12.323000	12.323000	B
12.815000	12.815000	B
13.307000	13.307000	B
21.669000	21.669000	B
22.160000	22.160000	B
22.653000	22.653000	B
23.143000	23.143000	B
23.635000	23.635000	B
24.127000	24.127000	B
24.621000	24.621000	B
25.110000	25.110000	B
25.602000	25.602000	B
26.093000	26.093000	B
26.587000	26.587000	B
27.077000	27.077000	B
27.570000	27.570000	B
28.061000	28.061000	B
28.553000	28.553000	B
29.043000	29.043000	B
29.537000	29.537000	B
30.029000	30.029000	B
30.523000	30.523000	B
31.012000	31.012000	B
31.506000	31.506000	B
31.995000	31.995000	B
32.490000	32.490000	B
32.979000	32.979000	B
37.407000	37.407000	B
37.898000	37.898000	B
38.392000	38.392000	B
38.881000	38.881000	B
39.374000	39.374000	B
39.864000	39.864000	B
40.358000	40.358000	B
40.848000	40.848000	B
41.340000	41.340000	B
41.831000	41.831000	B
42.324000	42.324000	B
42.814000	42.814000	B
43.307000	43.307000	B
43.798000	43.798000	B
44.291000	44.291000	B
44.783000	44.783000	B
76.747000	76.747000	B
77.241000	77.241000	B
77.736000	77.736000	B
78.230000	78.230000	B
78.714000	78.714000	B
79.209000	79.209000	B
79.705000	79.705000	B
80.197000	80.197000	B
80.681000	80.681000	B
81.179000	81.179000	B
81.672000	81.672000	B
82.164000	82.164000	B
82.649000	82.649000	B
83.144000	83.144000	B
83.637000	83.637000	B
84.617000	84.617000	B
85.114000	85.114000	B
85.602000	85.602000	B
86.099000	86.099000	B
86.584000	86.584000	B
87.082000	87.082000	B
87.570000	87.570000	B
88.066000	88.066000	B
92.489000	92.489000	B
92.984000	92.984000	B
93.474000	93.474000	B
93.967000	93.967000	B
94.456000	94.456000	B
94.951000	94.951000	B
95.439000	95.439000	B
95.934000	95.934000	B
96.419000	96.419000	B
96.917000	96.917000	B
97.409000	97.409000	B
97.902000	97.902000	B
100.354000	100.354000	B
100.852000	100.852000	B
101.344000	101.344000	B
101.835000	101.835000	B
102.322000	102.322000	B
102.820000	102.820000	B
103.309000	103.309000	B
103.803000	103.803000	B
116.089000	116.089000	B
116.583000	116.583000	B
117.073000	117.073000	B
117.571000	117.571000	B
118.056000	118.056000	B
118.551000	118.551000	B
119.039000	119.039000	B
119.538000	119.538000	B
120.023000	120.023000	B
120.518000	120.518000	B
121.007000	121.007000	B
121.504000	121.504000	B
121.990000	121.990000	B
122.483000	122.483000	B
122.973000	122.973000	B
123.470000	123.470000	B
123.957000	123.957000	B
